%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
630014000000,106,630010000000,world,firefly/base_link,0.0070915222,-0.0100479126,0.0609968845,6.95993440772E-06,6.44215668025E-06,-0.0001849713,0.9999999828,-0.0002446356,0.0005186883,-0.0194450734,-0.0015460296,0.0136328923,-0.0059064179
630028000000,106,630010000000,world,firefly/base_link,0.0070915222,-0.0100479126,0.0609968845,-6.62614262336E-06,1.39811589654E-06,-0.0001854193,0.9999999828,-0.0002446356,0.0005186883,-0.0194450734,-0.0069727136,0.008252526,0.0005828532
630048000000,107,630046000000,world,firefly/base_link,0.0039863586,-0.0109786987,0.0609968845,-6.24994294715E-06,1.39805635985E-06,-0.000187462,0.9999999824,-0.0002446345,0.0005186717,-0.0194450747,-0.0043432944,0.0023623401,-0.0017373071
630058000000,107,630050000000,world,firefly/base_link,0.0039863586,-0.0109786987,0.0610357746,0.000007078,6.44210987688E-06,-0.0001885461,0.9999999822,-0.0002565553,0.0005540713,0.0001867221,0.0145580344,0.0062808479,0.0014129846
630074000000,108,630062000000,world,firefly/base_link,0.0069885254,-0.010017395,0.0610357746,-0.0000066,1.39813828475E-06,-0.0001895047,0.999999982,-0.0002565572,0.0005540717,0.0001867215,0.0008822803,0.0066191156,0.0042388628
630080000000,108,630074000000,world,firefly/base_link,0.0069885254,-0.010017395,0.0610357746,7.86282398742E-06,6.44193126134E-06,-0.0001905888,0.9999999818,-0.0002565553,0.0005540712,0.0001867225,0.0088434751,-0.0018018455,-0.0019216191
630098000000,109,630098000000,world,firefly/base_link,0.0065078735,-0.0097808838,0.0610357746,-3.78127060661E-07,3.88069829004E-06,-0.0001921711,0.9999999815,-0.0002565551,0.0005540715,0.0001867221,4.21602314116E-05,-0.0019008576,0.0201498087
630106000000,109,630098000000,world,firefly/base_link,0.0065078735,-0.0097808838,0.0610357746,-6.37894964424E-06,1.39811904748E-06,-0.0001925688,0.9999999814,-0.0002565551,0.0005540715,0.0001867221,-0.0046550575,0.0064356826,0.0038762898
630122000000,110,630120000000,world,firefly/base_link,0.0059509277,-0.0110244751,0.0610354005,6.8784670867E-06,6.44211289515E-06,-0.0001941635,0.9999999811,0.0003281538,-0.0004222446,0.0099252528,0.0103984449,0.0017853825,-0.0029822778
630136000000,110,630124000000,world,firefly/base_link,0.0059509277,-0.0110244751,0.0609968845,-7.0345997371E-06,1.39811308874E-06,-0.0001946115,0.999999981,-0.0002446348,0.0005186865,-0.0194450744,-0.0146748405,-0.0014379259,-0.0114760578
